t,a
6.78,-0.28993
6.8,0.24
6.82,0.24055
6.84,0.2267
6.86,0.38072
6.88,0.50629
6.9,0.51701
6.92,0.50244
6.94,0.32028
6.96,-0.19676
6.98,-0.39905
7,-0.23676
7.02,0.07253
7.04,-0.0054
7.06,-0.24544
7.08,-0.31187
7.1,-0.08412
7.12,0.06983
7.14,-0.22469
7.16,-0.23423
7.18,0.37515
7.2,0.68573
7.22,0.19782
7.24,-0.28354
7.26,-0.33017
7.28,-0.62132
7.3,-0.49561
7.32,0.16809
7.34,0.39332
7.36,-0.10118
7.38,-0.97036
7.4,-0.90974
7.42,0.13968
7.44,0.6808
7.46,0.25017
7.48,-0.1164
7.5,-0.19545
7.52,-0.15668
7.54,-0.32808
7.56,-0.60417
7.58,-0.48652
7.6,-0.07786
7.62,0.06806
7.64,0.06695
7.66,0.09295
7.68,0.08802
7.7,0.0682
7.72,0.11777
7.74,0.23683
7.76,0.62251
7.78,0.75148
7.8,-0.49115
7.82,-0.90126
7.84,0.09488
7.86,0.43925
7.88,0.32183
7.9,0.20536
7.92,0.09303
7.94,-0.05992
7.96,-0.15054
7.98,-0.01936
8,0.13035
8.02,0.14915
8.04,0.25957
8.06,-0.0734
8.08,-0.59007
8.1,-0.39859
8.12,0.03914
8.14,0.4345
8.16,0.4826
8.18,-0.02699
8.2,-0.07786
8.22,0.05939
8.24,0.16636
8.26,0.02674
8.28,-0.30827
8.3,0.29477
8.32,0.39651
8.34,-0.21856
8.36,-0.31733
8.38,0.18644
8.4,0.94991
8.42,0.6128
8.44,0.04316
8.46,-0.24401
8.48,-0.06265
8.5,0.53655
8.52,0.38942
8.54,-0.05596
8.56,-0.03297
8.58,0.4937
8.6,0.8467
8.62,0.6592
8.64,0.08508
8.66,-0.16215
8.68,-0.20687
8.7,-0.28074
8.72,-0.24907
8.74,-0.16348
8.76,-0.16406
8.78,-0.16307
8.8,0.30851
8.82,0.46485
8.84,-0.09165
8.86,-0.36247
8.88,-0.29239
8.9,0.01011
8.92,0.24516
8.94,0.21128
8.96,0.15243
8.98,0.05526
9,-0.04667
9.02,-0.11944
9.04,-0.20831
9.06,-0.40806
9.08,-0.34503
9.1,0.27777
9.12,0.82569
9.14,0.6923
9.16,0.52144
9.18,0.54289
9.2,0.27972
9.22,-0.3183
9.24,-0.65003
9.26,-0.4337
9.28,0.05733
9.3,0.20915
9.32,0.25571
9.34,0.44038
9.36,0.52754
9.38,0.40515
9.4,-0.05508
9.42,-0.08422
9.44,0.16915
9.46,0.18562
9.48,-0.11919
9.5,-0.04163
